Iteration, BestFitness
0, 5.41223e+12
1, 5.3078e+12
2, 4.38838e+12
3, 4.25229e+12
4, 4.07318e+12
5, 4.07318e+12
6, 4.07318e+12
7, 4.07318e+12
8, 4.07318e+12
9, 4.07318e+12
10, 4.07318e+12
11, 3.57702e+12
12, 3.14556e+12
13, 3.12113e+12
14, 3.12113e+12
15, 3.12113e+12
16, 3.12113e+12
17, 3.12113e+12
18, 3.12113e+12
19, 3.12113e+12
20, 2.97893e+12
21, 2.774e+12
22, 2.67439e+12
23, 2.52908e+12
24, 2.34833e+12
25, 2.21234e+12
26, 2.21234e+12
27, 2.21234e+12
28, 2.07705e+12
29, 2.07705e+12
30, 2.07705e+12
31, 2.07705e+12
32, 2.06863e+12
33, 1.96859e+12
34, 1.85918e+12
35, 1.85918e+12
36, 1.85918e+12
37, 1.85918e+12
38, 1.85918e+12
39, 1.85918e+12
40, 1.85918e+12
41, 1.85918e+12
42, 1.85918e+12
43, 1.85918e+12
44, 1.85918e+12
45, 1.75785e+12
46, 1.66426e+12
47, 1.66426e+12
48, 1.5407e+12
49, 1.44083e+12
50, 1.44083e+12
51, 1.44083e+12
52, 1.44083e+12
53, 1.44083e+12
54, 1.44083e+12
55, 1.42806e+12
56, 1.42806e+12
57, 1.31985e+12
58, 1.19002e+12
59, 1.19002e+12
60, 1.19002e+12
61, 1.19002e+12
62, 1.16874e+12
63, 1.16874e+12
64, 1.16874e+12
65, 1.16874e+12
66, 1.16874e+12
67, 1.1094e+12
68, 1.04667e+12
69, 8.86518e+11
70, 8.86518e+11
71, 8.86518e+11
72, 8.86518e+11
73, 8.73283e+11
74, 8.73283e+11
75, 8.73283e+11
76, 8.73283e+11
77, 8.73283e+11
78, 8.73283e+11
79, 8.73283e+11
80, 8.73283e+11
81, 8.73283e+11
82, 8.73283e+11
83, 8.73283e+11
84, 8.73283e+11
85, 8.73283e+11
86, 8.73283e+11
87, 8.73283e+11
88, 7.99912e+11
89, 7.99912e+11
90, 7.99912e+11
91, 7.99912e+11
92, 7.99912e+11
93, 7.99912e+11
94, 6.95688e+11
95, 6.95688e+11
96, 6.95688e+11
97, 6.95688e+11
98, 6.95688e+11
99, 6.95688e+11
100, 6.95688e+11
101, 6.95688e+11
102, 6.95688e+11
103, 6.95688e+11
104, 6.95688e+11
105, 6.77602e+11
106, 6.77602e+11
107, 6.77602e+11
108, 6.77602e+11
109, 6.65277e+11
110, 6.65277e+11
111, 6.65277e+11
112, 6.56638e+11
113, 6.00578e+11
114, 6.00578e+11
115, 5.69392e+11
116, 5.61196e+11
117, 5.61196e+11
118, 5.61196e+11
119, 5.61196e+11
120, 5.61196e+11
121, 5.61196e+11
122, 5.61196e+11
123, 5.61196e+11
124, 5.61196e+11
125, 5.61196e+11
126, 5.61196e+11
127, 5.61196e+11
128, 5.61196e+11
129, 5.35499e+11
130, 5.22244e+11
131, 5.22244e+11
132, 5.22244e+11
133, 5.22244e+11
134, 5.22244e+11
135, 5.22244e+11
136, 5.22244e+11
137, 5.22244e+11
138, 5.22244e+11
139, 5.22244e+11
140, 4.9491e+11
141, 4.46817e+11
142, 4.46817e+11
143, 4.46817e+11
144, 4.46817e+11
145, 4.46817e+11
146, 4.2679e+11
147, 4.26016e+11
148, 4.21237e+11
149, 4.21237e+11
150, 4.20212e+11
151, 4.20212e+11
152, 4.20212e+11
153, 4.20212e+11
154, 4.20212e+11
155, 4.20212e+11
156, 4.20212e+11
157, 4.14643e+11
158, 4.14643e+11
159, 4.14643e+11
160, 4.14643e+11
161, 4.14643e+11
162, 3.86576e+11
163, 3.86576e+11
164, 3.86576e+11
165, 3.86576e+11
166, 3.86576e+11
167, 3.86576e+11
168, 3.66775e+11
169, 3.66775e+11
170, 3.66775e+11
171, 3.66775e+11
172, 3.66775e+11
173, 3.66775e+11
174, 3.66775e+11
175, 3.66775e+11
176, 3.66775e+11
177, 3.66775e+11
178, 3.66775e+11
179, 3.66775e+11
180, 3.66775e+11
181, 3.66775e+11
182, 3.66775e+11
183, 3.66775e+11
184, 3.66775e+11
185, 3.66775e+11
186, 3.66775e+11
187, 3.66775e+11
188, 3.63689e+11
189, 3.63689e+11
190, 3.04926e+11
191, 3.04926e+11
192, 3.04926e+11
193, 3.04926e+11
194, 3.04926e+11
195, 3.04926e+11
196, 3.04926e+11
197, 3.04926e+11
198, 3.04926e+11
199, 3.04926e+11
200, 3.04926e+11
201, 3.04926e+11
202, 3.04926e+11
203, 3.04926e+11
204, 3.04926e+11
205, 3.04926e+11
206, 3.04926e+11
207, 3.04926e+11
208, 3.04926e+11
209, 3.04926e+11
210, 3.04926e+11
211, 3.04926e+11
212, 3.04926e+11
213, 3.04926e+11
214, 3.04926e+11
215, 3.04926e+11
216, 3.04926e+11
217, 3.04926e+11
218, 3.04926e+11
219, 3.04926e+11
220, 3.04926e+11
221, 3.04926e+11
222, 3.04926e+11
223, 3.04926e+11
224, 3.04926e+11
225, 3.04926e+11
226, 3.04926e+11
227, 3.04926e+11
228, 2.89004e+11
229, 2.89004e+11
230, 2.89004e+11
231, 2.89004e+11
232, 2.89004e+11
233, 2.87558e+11
234, 2.87558e+11
235, 2.87558e+11
236, 2.87558e+11
237, 2.87558e+11
238, 2.87558e+11
239, 2.87558e+11
240, 2.87558e+11
241, 2.87558e+11
242, 2.87558e+11
243, 2.87558e+11
244, 2.87558e+11
245, 2.87558e+11
246, 2.87558e+11
247, 2.87558e+11
248, 2.87558e+11
249, 2.87558e+11
