Iteration, BestFitness
0, 3.14986e+12
1, 2.62532e+12
2, 2.52657e+12
3, 2.16724e+12
4, 2.03327e+12
5, 1.82344e+12
6, 1.48857e+12
7, 1.28424e+12
8, 1.20083e+12
9, 1.19834e+12
10, 1.19834e+12
11, 1.19834e+12
12, 1.0446e+12
13, 9.6336e+11
14, 8.75526e+11
15, 7.28561e+11
16, 7.28561e+11
17, 7.28561e+11
18, 6.86703e+11
19, 5.37926e+11
20, 5.37926e+11
21, 4.7329e+11
22, 4.71959e+11
23, 4.08897e+11
24, 3.82088e+11
25, 3.82088e+11
26, 3.77493e+11
27, 3.65466e+11
28, 3.52465e+11
29, 3.22501e+11
30, 3.12638e+11
31, 2.79704e+11
32, 2.79704e+11
33, 2.79704e+11
34, 2.79704e+11
35, 2.74872e+11
36, 2.74872e+11
37, 2.74872e+11
38, 2.53949e+11
39, 2.53949e+11
40, 2.20284e+11
41, 2.01124e+11
42, 1.94492e+11
43, 1.84092e+11
44, 1.84092e+11
45, 1.84092e+11
46, 1.65237e+11
47, 1.65237e+11
48, 1.65237e+11
49, 1.65237e+11
50, 1.65237e+11
51, 1.65237e+11
52, 1.62057e+11
53, 1.41339e+11
54, 1.41339e+11
55, 1.27455e+11
56, 1.25205e+11
57, 1.25205e+11
58, 1.12265e+11
59, 1.12265e+11
60, 1.12265e+11
61, 1.12265e+11
62, 1.12265e+11
63, 1.12265e+11
64, 1.05758e+11
65, 1.05758e+11
66, 1.05758e+11
67, 1.05758e+11
68, 1.05758e+11
69, 1.05758e+11
70, 1.05758e+11
71, 1.05758e+11
72, 1.05758e+11
73, 1.03289e+11
74, 9.91866e+10
75, 9.91866e+10
76, 9.91866e+10
77, 9.55677e+10
78, 9.01415e+10
79, 9.01415e+10
80, 8.88094e+10
81, 8.63455e+10
82, 8.15807e+10
83, 8.13305e+10
84, 8.13305e+10
85, 8.13305e+10
86, 8.13305e+10
87, 8.13305e+10
88, 8.13305e+10
89, 8.13305e+10
90, 8.13305e+10
91, 8.13305e+10
92, 7.98842e+10
93, 7.91123e+10
94, 7.4101e+10
95, 7.4101e+10
96, 7.19053e+10
97, 7.15724e+10
98, 7.05474e+10
99, 7.05474e+10
100, 6.99261e+10
101, 6.99261e+10
102, 6.82974e+10
103, 6.76343e+10
104, 6.76343e+10
105, 6.76343e+10
106, 6.76343e+10
107, 6.60295e+10
108, 6.29809e+10
109, 6.18629e+10
110, 6.18629e+10
111, 6.18629e+10
112, 6.18629e+10
113, 6.18629e+10
114, 6.18629e+10
115, 6.18629e+10
116, 6.18629e+10
117, 6.18629e+10
118, 5.94808e+10
119, 5.94808e+10
120, 5.94808e+10
121, 5.91692e+10
122, 5.91692e+10
123, 5.91692e+10
124, 5.91692e+10
125, 5.91692e+10
126, 5.69404e+10
127, 5.5549e+10
128, 5.5549e+10
129, 5.5549e+10
130, 5.5549e+10
131, 5.5549e+10
132, 5.5549e+10
133, 5.46443e+10
134, 5.46443e+10
135, 5.46443e+10
136, 5.46443e+10
137, 5.46443e+10
138, 5.46443e+10
139, 5.1511e+10
140, 5.02539e+10
141, 5.01205e+10
142, 5.01205e+10
143, 5.01205e+10
144, 5.01205e+10
145, 4.82824e+10
146, 4.82824e+10
147, 4.82824e+10
148, 4.81536e+10
149, 4.81536e+10
150, 4.81536e+10
151, 4.81536e+10
152, 4.77411e+10
153, 4.72527e+10
154, 4.72116e+10
155, 4.72116e+10
156, 4.72116e+10
157, 4.72116e+10
158, 4.72116e+10
159, 4.72116e+10
160, 4.72116e+10
161, 4.60105e+10
162, 4.57004e+10
163, 4.57004e+10
164, 4.57004e+10
165, 4.57004e+10
166, 4.48732e+10
167, 4.48732e+10
168, 4.48732e+10
169, 4.48732e+10
170, 4.48732e+10
171, 4.48732e+10
172, 4.48732e+10
173, 4.42738e+10
174, 4.42738e+10
175, 4.42738e+10
176, 4.42738e+10
177, 4.42738e+10
178, 4.42738e+10
179, 4.42738e+10
180, 4.23323e+10
181, 4.23323e+10
182, 4.23323e+10
183, 4.23323e+10
184, 4.23323e+10
185, 4.23323e+10
186, 4.21527e+10
187, 4.21527e+10
188, 4.18118e+10
189, 4.14051e+10
190, 4.14051e+10
191, 4.14051e+10
192, 4.14051e+10
193, 4.14051e+10
194, 4.07003e+10
195, 3.96257e+10
196, 3.96257e+10
197, 3.96257e+10
198, 3.96257e+10
199, 3.96257e+10
200, 3.96257e+10
201, 3.96257e+10
202, 3.89703e+10
203, 3.89e+10
204, 3.89e+10
205, 3.8621e+10
206, 3.8503e+10
207, 3.8503e+10
208, 3.8503e+10
209, 3.8503e+10
210, 3.8503e+10
211, 3.8503e+10
212, 3.8503e+10
213, 3.8503e+10
214, 3.8503e+10
215, 3.8503e+10
216, 3.8503e+10
217, 3.8503e+10
218, 3.83047e+10
219, 3.83047e+10
220, 3.83047e+10
221, 3.79309e+10
222, 3.6961e+10
223, 3.6961e+10
224, 3.6961e+10
225, 3.6961e+10
226, 3.6961e+10
227, 3.6961e+10
228, 3.6961e+10
229, 3.6961e+10
230, 3.6961e+10
231, 3.6961e+10
232, 3.6961e+10
233, 3.6961e+10
234, 3.6961e+10
235, 3.6961e+10
236, 3.6961e+10
237, 3.60627e+10
238, 3.60627e+10
239, 3.57842e+10
240, 3.57842e+10
241, 3.57842e+10
242, 3.57842e+10
243, 3.57593e+10
244, 3.54285e+10
245, 3.54285e+10
246, 3.51489e+10
247, 3.45181e+10
248, 3.45181e+10
249, 3.45181e+10
250, 3.45181e+10
251, 3.45181e+10
252, 3.45181e+10
253, 3.4486e+10
254, 3.39769e+10
255, 3.39769e+10
256, 3.35744e+10
257, 3.34932e+10
258, 3.34932e+10
259, 3.34932e+10
260, 3.34932e+10
261, 3.33491e+10
262, 3.27765e+10
263, 3.27092e+10
264, 3.26468e+10
265, 3.26468e+10
266, 3.26468e+10
267, 3.26468e+10
268, 3.26468e+10
269, 3.26468e+10
270, 3.26468e+10
271, 3.26468e+10
272, 3.26468e+10
273, 3.26468e+10
274, 3.26468e+10
275, 3.26468e+10
276, 3.26444e+10
277, 3.26444e+10
278, 3.26444e+10
279, 3.25999e+10
280, 3.19988e+10
281, 3.19988e+10
282, 3.19988e+10
283, 3.19988e+10
284, 3.14346e+10
285, 3.14346e+10
286, 3.14346e+10
287, 3.14346e+10
288, 3.14346e+10
289, 3.14346e+10
290, 3.14346e+10
291, 3.14346e+10
292, 3.14346e+10
293, 3.14346e+10
294, 3.13202e+10
295, 3.13202e+10
296, 3.13202e+10
297, 3.13202e+10
298, 3.13202e+10
299, 3.12467e+10
300, 3.11445e+10
301, 3.11445e+10
302, 3.08933e+10
303, 3.06966e+10
304, 3.06966e+10
305, 3.06966e+10
306, 3.06966e+10
307, 3.06966e+10
308, 3.06966e+10
309, 3.06966e+10
310, 3.06966e+10
311, 3.06966e+10
312, 3.06966e+10
313, 3.06966e+10
314, 3.06186e+10
315, 3.06186e+10
316, 3.06186e+10
317, 3.06186e+10
318, 3.06186e+10
319, 3.06186e+10
320, 3.06186e+10
321, 3.06118e+10
322, 3.06118e+10
323, 3.06118e+10
324, 3.06003e+10
325, 3.04551e+10
326, 3.03504e+10
327, 3.02682e+10
328, 3.02682e+10
329, 3.02299e+10
330, 2.9984e+10
331, 2.9984e+10
332, 2.9984e+10
333, 2.9984e+10
334, 2.98071e+10
335, 2.98071e+10
336, 2.98071e+10
337, 2.97351e+10
338, 2.97351e+10
339, 2.95304e+10
340, 2.95304e+10
341, 2.95304e+10
342, 2.95304e+10
343, 2.94757e+10
344, 2.94757e+10
345, 2.94757e+10
346, 2.93264e+10
347, 2.93264e+10
348, 2.92472e+10
349, 2.92348e+10
350, 2.92348e+10
351, 2.92348e+10
352, 2.92348e+10
353, 2.92348e+10
354, 2.92348e+10
355, 2.92348e+10
356, 2.92348e+10
357, 2.92348e+10
358, 2.92348e+10
359, 2.92087e+10
360, 2.91361e+10
361, 2.91361e+10
362, 2.91361e+10
363, 2.91361e+10
364, 2.90175e+10
365, 2.89593e+10
366, 2.89478e+10
367, 2.89478e+10
368, 2.89478e+10
369, 2.89478e+10
370, 2.89172e+10
371, 2.89172e+10
372, 2.89172e+10
373, 2.89172e+10
374, 2.88272e+10
375, 2.86061e+10
376, 2.85703e+10
377, 2.84712e+10
378, 2.84462e+10
379, 2.83309e+10
380, 2.83309e+10
381, 2.83309e+10
382, 2.83309e+10
383, 2.83309e+10
384, 2.83309e+10
385, 2.81989e+10
386, 2.81989e+10
387, 2.81989e+10
388, 2.81989e+10
389, 2.81989e+10
390, 2.81745e+10
391, 2.81745e+10
392, 2.81745e+10
393, 2.81745e+10
394, 2.81745e+10
395, 2.81745e+10
396, 2.81745e+10
397, 2.81745e+10
398, 2.81745e+10
399, 2.81745e+10
400, 2.81745e+10
401, 2.80409e+10
402, 2.80333e+10
403, 2.80333e+10
404, 2.80333e+10
405, 2.80333e+10
406, 2.79219e+10
407, 2.79219e+10
408, 2.79219e+10
409, 2.79219e+10
410, 2.79219e+10
411, 2.79048e+10
412, 2.78468e+10
413, 2.78468e+10
414, 2.77919e+10
415, 2.77919e+10
416, 2.77919e+10
417, 2.77919e+10
418, 2.77795e+10
419, 2.77795e+10
420, 2.76469e+10
421, 2.75631e+10
422, 2.75631e+10
423, 2.75631e+10
424, 2.75631e+10
425, 2.75631e+10
426, 2.75631e+10
427, 2.75631e+10
428, 2.75526e+10
429, 2.75526e+10
430, 2.75526e+10
431, 2.75526e+10
432, 2.74931e+10
433, 2.74543e+10
434, 2.74543e+10
435, 2.74165e+10
436, 2.74165e+10
437, 2.74124e+10
438, 2.74124e+10
439, 2.74124e+10
440, 2.74124e+10
441, 2.73869e+10
442, 2.72917e+10
443, 2.7274e+10
444, 2.7274e+10
445, 2.7274e+10
446, 2.71721e+10
447, 2.71721e+10
448, 2.716e+10
449, 2.70969e+10
450, 2.70969e+10
451, 2.70421e+10
452, 2.70421e+10
453, 2.7008e+10
454, 2.7008e+10
455, 2.7008e+10
456, 2.7008e+10
457, 2.7008e+10
458, 2.7008e+10
459, 2.7008e+10
460, 2.69732e+10
461, 2.69732e+10
462, 2.69732e+10
463, 2.69732e+10
464, 2.69732e+10
465, 2.69732e+10
466, 2.69732e+10
467, 2.69732e+10
468, 2.69732e+10
469, 2.69732e+10
470, 2.69732e+10
471, 2.69732e+10
472, 2.69456e+10
473, 2.69456e+10
474, 2.69456e+10
475, 2.69456e+10
476, 2.68402e+10
477, 2.68402e+10
478, 2.68402e+10
479, 2.68402e+10
480, 2.68402e+10
481, 2.68402e+10
482, 2.68402e+10
483, 2.68402e+10
484, 2.68402e+10
485, 2.68402e+10
486, 2.67637e+10
487, 2.67567e+10
488, 2.67567e+10
489, 2.67567e+10
490, 2.67431e+10
491, 2.67431e+10
492, 2.67134e+10
493, 2.67134e+10
494, 2.67134e+10
495, 2.67134e+10
496, 2.67134e+10
497, 2.6665e+10
