Iteration, BestFitness
0, 3.93091e+11
1, 3.91184e+11
2, 3.88276e+11
3, 3.39644e+11
4, 3.39644e+11
5, 3.34459e+11
6, 3.29904e+11
7, 3.2582e+11
8, 3.23478e+11
9, 3.01658e+11
10, 3.01658e+11
11, 2.84099e+11
12, 2.78652e+11
13, 2.6979e+11
14, 2.54713e+11
15, 2.46094e+11
16, 2.46094e+11
17, 2.4269e+11
18, 2.30211e+11
19, 2.21137e+11
20, 2.20161e+11
21, 2.20161e+11
22, 2.20161e+11
23, 2.13643e+11
24, 2.13643e+11
25, 2.13643e+11
26, 2.13643e+11
27, 2.13643e+11
28, 2.06481e+11
29, 2.00788e+11
30, 2.0058e+11
31, 1.92831e+11
32, 1.92831e+11
33, 1.92831e+11
34, 1.85176e+11
35, 1.85176e+11
36, 1.85176e+11
37, 1.61281e+11
38, 1.61281e+11
39, 1.51734e+11
40, 1.51734e+11
41, 1.51734e+11
42, 1.51734e+11
43, 1.51734e+11
44, 1.51734e+11
45, 1.51734e+11
46, 1.51734e+11
47, 1.51734e+11
48, 1.51734e+11
49, 1.51734e+11
50, 1.43184e+11
51, 1.40882e+11
52, 1.40882e+11
53, 1.40882e+11
54, 1.40882e+11
55, 1.40882e+11
56, 1.40882e+11
57, 1.40882e+11
58, 1.40882e+11
59, 1.38955e+11
60, 1.21467e+11
61, 1.21467e+11
62, 1.21467e+11
63, 1.21467e+11
64, 1.21318e+11
65, 1.18432e+11
66, 1.18432e+11
67, 1.18432e+11
68, 1.18432e+11
69, 1.18432e+11
70, 1.18432e+11
71, 1.18432e+11
72, 1.18432e+11
73, 1.18432e+11
74, 1.18432e+11
75, 1.17452e+11
76, 1.17452e+11
77, 1.08171e+11
78, 1.08171e+11
79, 1.08171e+11
80, 1.08171e+11
81, 1.08171e+11
82, 1.08171e+11
83, 1.08171e+11
84, 1.08171e+11
85, 1.08171e+11
86, 1.08171e+11
87, 9.9647e+10
88, 9.9647e+10
89, 9.9647e+10
90, 9.9647e+10
91, 9.9647e+10
92, 9.9647e+10
93, 9.9647e+10
94, 9.79885e+10
