Iteration, BestFitness
0, 1.99923e+16
1, 7.11373e+15
2, 7.11373e+15
3, 1.70871e+15
4, 1.48184e+15
5, 4.4601e+13
6, 4.4601e+13
7, 2.70133e+13
8, 2.70133e+13
9, 2.70133e+13
10, 1.76355e+13
11, 1.76355e+13
12, 1.57719e+13
13, 1.57719e+13
14, 1.57719e+13
15, 3.80054e+12
16, 3.80054e+12
17, 3.80054e+12
18, 3.63948e+12
19, 3.63948e+12
20, 3.63948e+12
21, 1.53512e+12
22, 1.44958e+12
23, 1.44958e+12
24, 1.44958e+12
25, 1.43709e+12
26, 5.76133e+11
27, 5.76133e+11
28, 5.76133e+11
29, 5.76133e+11
30, 5.76133e+11
31, 5.76133e+11
32, 5.76133e+11
33, 5.76133e+11
34, 5.76133e+11
35, 4.86454e+11
36, 4.86454e+11
37, 3.99803e+11
38, 3.15559e+11
39, 3.15559e+11
40, 1.69706e+11
41, 1.69706e+11
42, 9.14372e+10
43, 9.14372e+10
44, 7.69522e+10
45, 7.69522e+10
46, 7.55883e+10
47, 7.55883e+10
48, 7.55883e+10
49, 6.77603e+10
50, 4.91938e+10
51, 3.79738e+10
52, 3.79738e+10
53, 2.94874e+10
54, 2.94874e+10
55, 2.94874e+10
56, 2.94874e+10
57, 1.93242e+10
58, 1.93242e+10
59, 1.8913e+10
60, 1.8913e+10
61, 1.8913e+10
62, 1.8913e+10
63, 1.52868e+10
64, 1.52868e+10
65, 1.2175e+10
66, 1.14813e+10
67, 1.14813e+10
68, 9.67771e+09
69, 9.67771e+09
70, 9.67771e+09
71, 4.99445e+09
72, 4.99445e+09
73, 4.99445e+09
74, 4.99445e+09
75, 4.99445e+09
76, 4.99445e+09
77, 3.62252e+09
78, 2.765e+09
79, 2.70422e+09
80, 2.29621e+09
81, 2.10636e+09
82, 2.10636e+09
83, 2.10636e+09
84, 2.10636e+09
85, 1.74722e+09
86, 1.74722e+09
87, 1.74722e+09
88, 1.51026e+09
89, 8.3429e+08
90, 8.3429e+08
91, 8.03992e+08
92, 6.89957e+08
93, 6.89957e+08
94, 6.89957e+08
95, 6.89957e+08
96, 6.89957e+08
97, 6.89957e+08
98, 6.89957e+08
99, 6.89957e+08
