func,run_id,algorithm,seconds_wall
F1,run01,RL-MACPO,3.017
F1,run02,RL-MACPO,3.098
F1,run03,RL-MACPO,3.151
F1,run04,RL-MACPO,3.640
F1,run05,RL-MACPO,3.789
F1,run06,RL-MACPO,3.882
F1,run07,RL-MACPO,4.468
F1,run08,RL-MACPO,6.188
F1,run09,RL-MACPO,9.582
F1,run10,RL-MACPO,9.423
F1,run11,RL-MACPO,7.119
F1,run12,RL-MACPO,5.373
F1,run13,RL-MACPO,4.365
F1,run14,RL-MACPO,4.431
F1,run15,RL-MACPO,4.521
F1,run16,RL-MACPO,4.379
F1,run17,RL-MACPO,4.308
F1,run18,RL-MACPO,4.429
F1,run19,RL-MACPO,4.226
F1,run20,RL-MACPO,4.159
F1,run21,RL-MACPO,4.330
F1,run22,RL-MACPO,4.117
F1,run23,RL-MACPO,3.925
F1,run24,RL-MACPO,3.910
F1,run25,RL-MACPO,3.714
F2,run01,RL-MACPO,4.440
F2,run02,RL-MACPO,3.689
F2,run03,RL-MACPO,3.648
F2,run04,RL-MACPO,3.661
F2,run05,RL-MACPO,3.686
F2,run06,RL-MACPO,4.356
F2,run07,RL-MACPO,3.799
F2,run08,RL-MACPO,3.737
F2,run09,RL-MACPO,3.753
F2,run10,RL-MACPO,3.739
F2,run11,RL-MACPO,3.724
F2,run12,RL-MACPO,3.747
F2,run13,RL-MACPO,3.831
F2,run14,RL-MACPO,3.882
F2,run15,RL-MACPO,3.793
F2,run16,RL-MACPO,3.735
F2,run17,RL-MACPO,3.721
F2,run18,RL-MACPO,3.751
F2,run19,RL-MACPO,3.954
F2,run20,RL-MACPO,4.256
F2,run21,RL-MACPO,4.409
F2,run22,RL-MACPO,4.353
F2,run23,RL-MACPO,4.385
F2,run24,RL-MACPO,4.258
F2,run25,RL-MACPO,3.733
F3,run01,RL-MACPO,2.407
F3,run02,RL-MACPO,2.425
F3,run03,RL-MACPO,2.618
F3,run04,RL-MACPO,2.415
F3,run05,RL-MACPO,2.474
F3,run06,RL-MACPO,2.375
F3,run07,RL-MACPO,2.391
F3,run08,RL-MACPO,2.379
F3,run09,RL-MACPO,2.974
F3,run10,RL-MACPO,2.618
F3,run11,RL-MACPO,2.486
F3,run12,RL-MACPO,2.508
F3,run13,RL-MACPO,2.447
F3,run14,RL-MACPO,2.442
F3,run15,RL-MACPO,2.490
F3,run16,RL-MACPO,2.407
F3,run17,RL-MACPO,2.389
F3,run18,RL-MACPO,2.573
F3,run19,RL-MACPO,2.777
F3,run20,RL-MACPO,2.462
F3,run21,RL-MACPO,2.412
F3,run22,RL-MACPO,2.406
F3,run23,RL-MACPO,2.455
F3,run24,RL-MACPO,2.412
F3,run25,RL-MACPO,2.574
F4,run01,RL-MACPO,3.753
F4,run02,RL-MACPO,4.059
F4,run03,RL-MACPO,4.008
F4,run04,RL-MACPO,3.823
F4,run05,RL-MACPO,3.703
F4,run06,RL-MACPO,3.695
F4,run07,RL-MACPO,3.417
F4,run08,RL-MACPO,3.342
F4,run09,RL-MACPO,3.318
F4,run10,RL-MACPO,3.430
F4,run11,RL-MACPO,3.322
F4,run12,RL-MACPO,3.270
F4,run13,RL-MACPO,3.163
F4,run14,RL-MACPO,3.281
F4,run15,RL-MACPO,3.109
F4,run16,RL-MACPO,3.058
F4,run17,RL-MACPO,3.097
F4,run18,RL-MACPO,3.051
F4,run19,RL-MACPO,3.237
F4,run20,RL-MACPO,3.102
F4,run21,RL-MACPO,3.052
F4,run22,RL-MACPO,3.090
F4,run23,RL-MACPO,3.162
F4,run24,RL-MACPO,3.126
F4,run25,RL-MACPO,3.125
F5,run01,RL-MACPO,3.614
F5,run02,RL-MACPO,3.351
F5,run03,RL-MACPO,5.346
F5,run04,RL-MACPO,3.274
F5,run05,RL-MACPO,3.229
F5,run06,RL-MACPO,3.336
F5,run07,RL-MACPO,3.285
F5,run08,RL-MACPO,3.581
F5,run09,RL-MACPO,3.220
F5,run10,RL-MACPO,3.122
F5,run11,RL-MACPO,3.194
F5,run12,RL-MACPO,3.141
F5,run13,RL-MACPO,3.159
F5,run14,RL-MACPO,3.210
F5,run15,RL-MACPO,3.147
F5,run16,RL-MACPO,3.269
F5,run17,RL-MACPO,3.178
F5,run18,RL-MACPO,2.749
F5,run19,RL-MACPO,2.761
F5,run20,RL-MACPO,2.809
F5,run21,RL-MACPO,2.786
F5,run22,RL-MACPO,2.780
F5,run23,RL-MACPO,3.009
F5,run24,RL-MACPO,3.014
F5,run25,RL-MACPO,3.026
F6,run01,RL-MACPO,2.789
F6,run02,RL-MACPO,2.938
F6,run03,RL-MACPO,2.978
F6,run04,RL-MACPO,2.813
F6,run05,RL-MACPO,2.798
F6,run06,RL-MACPO,3.033
F6,run07,RL-MACPO,2.831
F6,run08,RL-MACPO,2.778
F6,run09,RL-MACPO,2.764
F6,run10,RL-MACPO,2.887
F6,run11,RL-MACPO,2.981
F6,run12,RL-MACPO,2.887
F6,run13,RL-MACPO,2.800
F6,run14,RL-MACPO,2.766
F6,run15,RL-MACPO,2.748
F6,run16,RL-MACPO,2.814
F6,run17,RL-MACPO,3.048
F6,run18,RL-MACPO,2.765
F6,run19,RL-MACPO,2.732
F6,run20,RL-MACPO,2.762
F6,run21,RL-MACPO,2.797
F6,run22,RL-MACPO,2.763
F6,run23,RL-MACPO,2.810
F6,run24,RL-MACPO,2.748
F6,run25,RL-MACPO,2.768
